PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
64;C;dur;31v;Allemand;;;;;C;"{4}/ h g ,h ,f a ,,h ,a | ,,,h/ ,,,,,d ,,,,,c ,,,,,a {a} \
{,a} {,,a} {,,,a} | {4}1> c 'a1> ,c | ";;;;;;;;;;
65;C;dur;32v;Gavotte;;;;Conc_1501;2;"[ccd{4}1] e | ['aaa,a1]> ,,,,,d [aa,,,c1] [c{a}/] a | \
[,c,,,d1] {4} [,cd,,d] a/ ,c | [,'a,,,c1] [c{a}/] ,,c \
[,,d,,a1] {,b}/ {a} ,a | [,,'c{a}1] ,,,c/ ,,,,,a [,a,,,c1] \
,,,c/ ,a | ";;;;;;;;;;
66;C;dur;32v;Bourée;;;;Conc_3760;2;",,d1 | c1 [cc,,,d] [e,,,d] [c,,,c] | ['a,,,a1] [,c,,,d/] a \
[,'a,,,c1] [c{a}] | [,c,,,d/] ,,,,,c ,,,,,a e ['baaa,a1]> b \
 | c {a} [cac] :| ";;;;;;;;;;
67;C;dur;33r;Menuet;;;;Conc_3921;3;"[cc,,,d2] [ca,,,c1] | [,cd,,d1] [,'a/] ,c ,,d1 | [ccd{,,a}2] \
{4}1 | [e,d{,a}1] c/ e [,'a{a}1] | [ccd{,,a}1]> c [,,d,,a1] | \
[aad{,,,a}2] ,,,,a/ ,,,,,d | [aa,,,c1] {a} [,cd,,d] | \
[,'a{a}2] :| ";;;;;;;;;;
68;C;dur;33v;Bourée;;;;;2;"c/ ,d | [,cd{4}1] [,cd{,,,a}/] c [,,d{,,a}1] [,aa{,a}/] ,,d | \
[,,'cc{a}1] [,,d,,a] [,ad,,c] [,cd,,d] | [aad,a1] ,,,,,a \
[ca,,,c/] a [,c,,,d] a | [,'a1] {a} [,acc] :| ";;;;;;;;;;
69;C;dur;33v;Gavotte;;;;;2;"c1 | [,,d,,d1] [,a,,,c] [,c,,,d] [,'a/] ,,d | [,acc{a}1] \
[,acc] [,acc] {,,a}/ c | [ed{,a}1] {,,a}/ c {,,,a} a \
[,c{4}] c | [,'a1] {a} [,acc] :| ";;;;;;;;;;
70;C;dur;34r;Menuet;;;;;3;"[h{4}1] ['g{,,,a}1]> ,h | [,f{,,a}1] ,d1> ,c | [,d{,a}1] \
[,'a1]> ,,d | [,,c{a}/] ,,d ,,c ,,a ,,,c1 | ,,,,,a1 [,a,,,c] \
c | [,'c,,,d1]> ,c [,ed,,a1] | ";;;;;;;;;;
71;C;dur;34v;Sarabanda;;;;;3;"[hfh{4}1] 'h1> ,k | [,'h{,a}1] ,h {,,a} | [,h{,,,a}/] k 'g1> \
,h | [,gf{,,a}1] [,gf] {,,,a} | [eca{4}/]> e [da,,,c/]> d \
e/> g | ";;;;;;;;;;
72;C;dur;35r;Bourée;en;rondeaux;;;;;2;",,d/ ,a | ,c1 [,c{4}/] [a{,,,a}] [c{,,a}1] ,,d/ ,,b | \
[,,'a{,a}/] ,,,c ,,a ,,b ,,a1 ,a | [,,'cc{a}1] ,,d [,ad,,c1] \
[,c,,,d/] a | ";;;;;;;;
73;C;dur;35v;Gavotte;;;;;2;"[hfh{4}/] {,,a}/4 c [e,d{,a}/] [c,d{,,a}] {,,,a}/4 a {4} \
,c [,ac{a}/] {,,a}/4 c | [,,d,,a/4] {,,,a} a [,,c{a}] \
[,,d{,a}] ,a [,'a{a}] ,,c ,,d/ {4} | ";;;;;;;;;;
74;C;dur;36r;Guigue;;;;;3;",,,c/ | [,,dcc{4}1]> ,a ,c1 | [ad{,,,a}1]> ,c ,a1 | \
[c,d{,,a}1]> a [,cd{,a}1] | [,ac{a}2] [c,d{,,a}1] | \
[e,d{,a}2] [c,c{a}1] | [a,,,,a1] ,,,,,c [,c,,,d] | \
[,ac{a}2] [,ac1] | [,acc2] :| ";;;;;;;;;;
