Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
64;;35v;Aria de Fletin;;;cittern;;3;",,,a1 d ,,,a | [aba2] ,,,a1 | [,aa1] ,a z1 | [,aaa1] [aba] [cdc] | \
[df3/2] f/ h1 | f1 [fhh3/2] d/ | [daaa3] :||:";french4tab
65;;36r;Aria;;;cittern;;3;"[ab1] a a | [,aaa3/2] a/ ,d1 | [,bc1] ,b ,b | [,ab2] ,,c1 | \
[acc3] | [,bc1] ,b ,b | [,bc3/2] ,d/ a1 |";french4tab
66;;36v;Ballet;;;cittern;;C;"[daaa3/2] f/ d a [da3/4] d/4 | a/ ,b [bdc3/4] b/4 b/ d [aba3/4] a/4 | \
,d/ ,,a [,bc3/4] ,b/4 ,b/ ,,c [,,ca3/4] ,,,a/4 |";french4tab
67;;37r;Ballet;;;cittern;;C;",,c/ ,a ,b1 ,,c | [aab1] f e a | z1 g/ h f3/2 d/ | \
b1 a b ,d | z1 d/ ,d [aba1] a |";french4tab
68;;37v;Courante;;;cittern;;3;",b1 | [,bc2] ,a1 | [,ab2] a1 | [aba2] ,,,a1 | [,aaa2] b1 | \
[bdc2] a1 | [acc2] a/4 c d/ | f2 e1 | [efe2] :||:";french4tab
69;;37v;Rosidora du Edele Flora;;;cittern;;3;"[,aaa1] ,,c ,,,a | [,aaa3/2] a/ c1 | [df1] d d | [cee3] | \
[aba1] a a | [,dc3/2] ,b/ ,a1 | ,a/ ,b ,d1 ,b/ ,a |";french4tab
70;;38r;Aria;;;cittern;;C;"[daaa1] f h ,,,a | [abc1] [cd] [daaa2] | [cdca1] d f ,,,a | \
[adc3/2] ,c/ [cdca2] :||: [,aa1] [,cc] [,ee] [ac] |";french4tab
71;;38v;Dantz;;;cittern;;C;"[,,ca1] ,,c ,,c ,a/ ,c | ,d1 [,aa] [,aa2] | a1 ,c [,cc] ,d/ a | \
c1 ,d [cdca2] :||: [cdc2] [acc] | [,de2] [,cc] |";french4tab
72;;38v;Ballet;;;cittern;;C;",d/ a | [cdca1] c c f/ d | [cdca1] a/ c ,d1 ,d/ a | \
[cdca1] c c f/ d | [ceca3] :||:";french4tab
73;;39r;Sarabande;;;cittern;;3;"[cdc1] c c | [acc2] ,d1 | f1 d/ c a ,d | ,c3/2 ,a/ ,,c1 | \
[,de3/2] a/ c1 | [acc2] [cdca1] :||:";french4tab
74;;39v;Ich fragte dorindgen mein einiges leben;;;cittern;;3;",,,a1 | [daaa3/2] d/ ,d1 | [aba3/2] a/ ,d1 | [,bc3/2] ,d/ [,aa1] | \
[,,ca2] ,,a1 | z2 [,aa1] | ,,c3/2 ,,c/ ,a ,c |";french4tab
75;;40r;Ballet;;;cittern;;C;"[daaa3/4] ,,a/4 ,a/ ,b ,d ,,a [df1] | [cd1] [ab] ,d/ a ,d ,b | \
[,aa2] z/ ,d ,b ,a |";french4tab
76;;40v;Allemande;;;cittern;;C;"[,aaa3/2] ,,,a/ ,,a3/4 ,a/4 ,,c3/4 ,b/4 | \
[,aa3/2] ,b/ ,d ,a a ,b | c/ ,d d d [fhh3/2] d/ |";french4tab
77;;41v;Aria;;;cittern;;C;"z1 [,aaa1] d a | [,,ca3/2] ,b/ [,aa2] | z1 c/ d f1 [cd] | \
[ad3/2] ,c/ [cdca2] | z1 d/ f h1 [df] |";french4tab
78;;41v;Viyhen;;;cittern;;C;"f1 ,,c ,a/ ,c ,d ,c | ,a/ ,,c [,lab3/4] ,,c/4 [acc2] | \
[acc3/4] a/4 c/ e f e c a |";french4tab
79;;42r;Orlamünder lied;;;cittern;;C;"[,aaa/] ,,,a [,aaa] a/4 c d/ ,d/4 ,b ,a/ ,,a | \
[df1] [fh] [hgh3/4] h/4 [hgh1] :||: \
[hgh3/4] h/4 [hgh/] h [aba3/4] a/4 [aba1] |";french4tab
80;;42v;Ein ander may in Wohllust schwebet. W.;;;cittern;;C;"z1 a d ,b | ,,c3/2 ,a/ ,b1 ,b | [,aaa3/2] ,b/ [aba2] | \
z/ a b d f1 [bd] | [ad3/2] ,c/ [cdca2] |";french4tab
81;;43r;Höret zu ihr Jägersleut. W;;;cittern;;C;"[hgh3/2] i/ l1 h | [fhh3/2] d/ [daaa2] | [cdc3/2] a/ ,d2 | \
[,aa1] ,b/ ,d [,bc1] [,aa] | [,,ca3/2] ,,a/ [daaa2] :||:";french4tab
